inc_lat,inc_lon,est_lat,est_lon,distancia,pos_estacion,fecha
28.6013,-17.8667,28.63305555555556,-17.755,11.4767143785269,164,2021-10-02
28.6241,-17.8678,28.63305555555556,-17.755,11.074708396924608,164,2021-10-02
28.6357,-17.877,28.63305555555556,-17.755,11.932707393380795,164,2021-10-02
28.5991,-17.9133,28.63305555555556,-17.755,15.932024616914982,164,2021-10-02
28.6183,-17.8921,28.63305555555556,-17.755,13.506056111189094,164,2021-10-02
28.6279,-17.8902,28.63305555555556,-17.755,13.232628606433474,164,2021-10-02
28.6299,-17.9017,28.63305555555556,-17.755,14.34891969702588,164,2021-10-02
28.6338,-17.8657,28.63305555555556,-17.755,10.824610474183912,164,2021-10-02
28.6163,-17.8808,28.63305555555556,-17.755,12.441172707464858,164,2021-10-02
28.5963,-17.8638,28.63305555555556,-17.755,11.393519850719283,164,2021-10-02
28.6267,-17.8806,28.63305555555556,-17.755,12.301820370997959,164,2021-10-02
28.6371,-17.8799,28.63305555555556,-17.755,12.220810563742235,164,2021-10-02
28.6423,-17.887,28.63305555555556,-17.755,12.947101780017912,164,2021-10-02
28.6183,-17.8758,28.63305555555556,-17.755,11.925407173925484,164,2021-10-02
28.6139,-17.9027,28.63305555555556,-17.755,14.598725889082566,164,2021-10-02
28.6237,-17.9049,28.63305555555556,-17.755,14.69461799721176,164,2021-10-02
28.6235,-17.9109,28.63305555555556,-17.755,15.281456923062352,164,2021-10-02
28.6212,-17.9243,28.63305555555556,-17.755,16.60727849254471,164,2021-10-02
28.5965,-17.8847,28.63305555555556,-17.755,13.315672950960113,164,2021-10-02
28.5942,-17.8983,28.63305555555556,-17.755,14.661260240076558,164,2021-10-02
28.6207,-17.8616,28.63305555555556,-17.755,10.51360172781882,164,2021-10-02
28.6259,-17.8917,28.63305555555556,-17.755,13.390592351798244,164,2021-10-02
28.6281,-17.8782,28.63305555555556,-17.755,12.059390124713072,164,2021-10-02
28.6018,-17.914,28.63305555555556,-17.755,15.930625829656831,164,2021-10-02
28.6161,-17.8894,28.63305555555556,-17.755,13.276458326846326,164,2021-10-02
28.6086,-17.8733,28.63305555555556,-17.755,11.882068569534006,164,2021-10-02
28.611,-17.8588,28.63305555555556,-17.755,10.440879310146297,164,2021-10-02
28.628,-17.8843,28.63305555555556,-17.755,12.65576898556502,164,2021-10-02
28.6303,-17.8708,28.63305555555556,-17.755,11.32728181088145,164,2021-10-02
28.6257,-17.8977,28.63305555555556,-17.755,13.9775987686185,164,2021-10-02
28.6376,-17.8774,28.63305555555556,-17.755,11.978704779540443,168,2021-10-03
28.5991,-17.8694,28.63305555555556,-17.755,11.80388869860098,168,2021-10-03
28.6344,-17.8611,28.63305555555556,-17.755,10.37554646418447,168,2021-10-03
28.6289,-17.8962,28.63305555555556,-17.755,13.814599442749115,168,2021-10-03
28.6139,-17.8823,28.63305555555556,-17.755,12.628356382601536,168,2021-10-03
28.6257,-17.8798,28.63305555555556,-17.755,12.230667192082029,168,2021-10-03
28.6407,-17.8939,28.63305555555556,-17.755,13.60766067901225,168,2021-10-03
28.6171,-17.8989,28.63305555555556,-17.755,14.182395752814456,168,2021-10-03
28.6227,-17.8643,28.63305555555556,-17.755,10.749410403568456,168,2021-10-03
28.6109,-17.867,28.63305555555556,-17.755,11.224474470665665,168,2021-10-03
28.6081,-17.8527,28.63305555555556,-17.755,9.946586788972755,168,2021-10-03
37.0366,-2.3174,36.84638888888889,-2.3569444444444447,21.40082230894768,119,2021-10-03
28.6044,-17.8303,28.63305555555556,-17.755,8.019544984738046,168,2021-10-03
28.6097,-17.824,28.63305555555556,-17.755,7.227075773398071,168,2021-10-03
28.6129,-17.8753,28.63305555555556,-17.755,11.974359314281934,168,2021-10-03
28.6213,-17.8328,28.63305555555556,-17.755,7.7185238106158565,168,2021-10-03
28.625,-17.8855,28.63305555555556,-17.755,12.792074187057366,168,2021-10-03
28.619,-17.8872,28.63305555555556,-17.755,13.020999849219331,168,2021-10-03
28.6012,-17.8839,28.63305555555556,-17.755,13.090912369814825,168,2021-10-03
28.6072,-17.9058,28.63305555555556,-17.755,15.022976591130954,168,2021-10-03
28.6057,-17.9159,28.63305555555556,-17.755,16.02438850528926,168,2021-10-03
28.6175,-17.8974,28.63305555555556,-17.755,14.031327966534855,168,2021-10-03
28.6219,-17.867,28.63305555555556,-17.755,11.021593186024052,168,2021-10-03
28.6204,-17.8771,28.63305555555556,-17.755,12.021853725560678,168,2021-10-03
28.6161,-17.9075,28.63305555555556,-17.755,15.030701083449248,168,2021-10-03
28.6156,-17.9026,28.63305555555556,-17.755,14.562711437066737,168,2021-10-03
28.6058,-17.863,28.63305555555556,-17.755,10.985171656005345,168,2021-10-03
28.619,-17.8637,28.63305555555556,-17.755,10.743020962056846,168,2021-10-03
28.6305,-17.8837,28.63305555555556,-17.755,12.587727672244839,168,2021-10-03
28.6174,-17.8823,28.63305555555556,-17.755,12.568758260455368,168,2021-10-03
28.6138,-17.9228,28.63305555555556,-17.755,16.54730557894048,168,2021-10-03
28.6287,-17.904,28.63305555555556,-17.755,14.577633740523503,168,2021-10-03
28.6298,-17.903,28.63305555555556,-17.755,14.476278035212715,166,2021-10-04
28.6105,-17.8425,28.63305555555556,-17.755,8.914414225397275,166,2021-10-04
28.627,-17.8737,28.63305555555556,-17.755,11.626300568307482,166,2021-10-04
28.6075,-17.8648,28.63305555555556,-17.755,11.104894071546736,166,2021-10-04
28.6236,-17.895,28.63305555555556,-17.755,13.729976168696478,166,2021-10-04
28.6165,-17.905,28.63305555555556,-17.755,14.782583692844288,166,2021-10-04
28.6136,-17.8752,28.63305555555556,-17.755,11.950472511477358,166,2021-10-04
28.6241,-17.8436,28.63305555555556,-17.755,8.720414854776932,166,2021-10-04
