Estación,Provincia,Temperatura máxima (ºC),Temperatura mínima (ºC),Temperatura media (ºC),Racha (km/h),Velocidad máxima (km/h),Precipitación 00-24h (mm),Precipitación 00-06h (mm),Precipitación 06-12h (mm),Precipitación 12-18h (mm),Precipitación 18-24h (mm),Latitude,Longitude
Talarn,Lleida,26.0 (15:40),11.5 (05:50),18.8,30 (17:40),21 (18:00),0,0,0,0,0,42.20527777777778,0.8652777777777777
Lleida,Lleida,30.0 (15:30),15.9 (06:30),22.9,34 (19:20),18 (19:20),0,0,0,0,0,41.626111111111115,0.5980555555555556
Bielsa,Huesca,24.8 (16:30),11.0 (00:10),17.9,29 (18:20),12 (18:20),9.2,0,0.4,1.2,7.6,42.63,0.22472222222222224
"Escorca, Lluc",Illes Balears,25.2 (15:50),16.0 (06:00),20.6,39 (23:00),13 (22:40),0,0,0,0,0,39.82333333333334,2.8858333333333333
"Palma, Puerto",Illes Balears,26.9 (13:50),18.9 (07:00),22.9,22 (19:10),12 (19:00),0,0,0,0,0,39.55333333333333,2.625277777777778
"Sierra de Alfabia, Bunyola",Illes Balears,21.6 (14:50),15.3 (05:10),18.5,50 (22:30),41 (23:10),0,0,0,0,0,39.735,2.7130555555555556
Porreres,Illes Balears,28.8 (14:20),16.7 (06:50),22.8,24 (16:10),13 (14:50),0,0,0,0,0,39.52166666666667,3.0191666666666666
Capdepera,Illes Balears,26.1 (15:20),19.8 (06:50),22.9,21 (18:00),19 (18:00),0,0,0,0,0,39.71555555555556,3.4780555555555557
Sa Pobla,Illes Balears,29.1 (16:40),17.8 (07:20),23.4,36 (17:50),22 (17:50),0,0,0,0,0,39.74916666666667,3.0166666666666666
"Menorca, Aeropuerto",Illes Balears,26.8 (16:40),16.7 (01:20),21.8,35 (16:10),14 (11:10),0,0,0,0,0,39.85472222222222,4.2155555555555555
"Ibiza, Aeropuerto",Illes Balears,24.3 (15:20),15.2 (05:50),19.7,24 (15:30),17 (18:20),0,0,0,0,0,38.87638888888889,1.3844444444444444
